tSNE1,tSNE2
-4.5467744,-17.138788
-4.273896,-17.442507
-4.419182,-17.274717
-4.7865906,-16.753296
-4.616618,-17.018372
-4.4527435,-17.236723
-4.2725477,-17.444292
-4.5551376,-17.082636
-4.7226276,-16.795116
-4.5481143,-17.109404
-4.701376,-16.835672
-15.529397,-0.83473945
-5.4844723,-14.84824
-5.072946,-15.764991
-4.773543,-16.656324
-4.862472,-16.415619
-5.0580425,-15.649891
-4.8337955,-16.570389
-6.2165866,-10.9679165
-4.917658,-16.204006
-4.945647,-16.0743
-4.99641,-15.733078
-5.014018,-15.494081
-5.1128316,-14.600312
-5.1258993,-14.351048
-5.0701294,-14.620272
-5.0318527,-14.896484
-5.696622,-12.302811
-5.0690303,-14.371349
-5.6143694,-12.405381
-5.096627,-13.8541765
-5.3961954,-12.7543
-5.2708273,-13.090819
-5.859713,-11.50444
-5.2457128,-13.064863
-5.196252,-13.13806
-5.1468863,-13.267655
-5.2439466,-12.658037
-5.254903,-12.696869
-5.075458,-13.241548
-5.0525947,-12.786008
-5.011975,-13.020057
-5.005499,-13.733129
-4.9938593,-12.798992
-4.9306426,-12.858001
-5.0001726,-13.838025
-4.8400865,-12.971723
-4.9984965,-12.356739
-4.773497,-12.745622
-4.8075438,-12.588696
-5.5545416,-10.029167
-4.8941684,-12.199273
-4.8419642,-11.503649
-4.7415295,-11.872831
-4.8130903,-11.260641
-4.737379,-11.513616
-4.894699,-10.074306
-4.9157243,-9.984846
-5.139871,-9.27498
-4.834474,-10.225149
-4.6115212,-9.575547
-5.0070376,-9.397949
-4.728,-10.731816
-4.8706203,-9.813182
-4.981153,-9.344115
-4.4896235,-9.588875
-5.0292773,-9.0938
-5.040762,-9.024279
-5.0554957,-8.097569
-5.1012,-7.943531
-5.036201,-8.950721
-5.1464257,-8.61458
-5.131285,-8.659678
-5.2103057,-8.468596
-5.2066617,-8.477396
-5.215046,-8.48489
-5.397538,-7.0965357
-5.3805647,-7.495504
-5.380484,-7.818697
-5.267062,-8.352657
-5.498444,-7.4016376
-5.4902167,-7.9479003
-5.508901,-7.759779
-5.5608745,-7.8445053
-5.678677,-7.72176
-5.725103,-7.5679164
-5.9554496,-7.1427155
-8.431682,-5.89148
-5.7612157,-7.6790524
-5.860271,-7.3704343
-6.1179595,-7.0539427
-6.501617,-6.751892
-5.9909754,-7.2145705
-5.999606,-7.230757
-8.763156,-5.826866
-6.4330335,-6.8009267
-6.180214,-7.034697
-6.2125487,-7.0136194
-7.1477447,-6.3990073
-7.53082,-6.2216263
-6.4395866,-6.812326
-7.8599586,-6.106149
-7.341478,-6.3115163
-6.9913607,-6.468558
-15.524028,-1.2504866
-7.9208493,-6.0900106
-7.3617167,-6.292682
-8.616783,-5.9049635
-7.7696776,-6.1374598
-9.063231,-5.786177
-9.719079,-5.722411
-9.019777,-5.8175416
-9.78367,-5.7235985
-10.472599,-5.6684275
-9.611886,-5.7434087
-9.895262,-5.724035
-10.138397,-5.475176
-10.196703,-5.564712
-9.167248,-5.7017345
-10.221304,-5.54416
-10.628358,-5.7117157
-10.684988,-5.7215643
-10.007019,-5.724089
-10.851168,-5.718405
-12.0411,-5.9655256
-12.689676,-6.1026177
-11.102842,-5.7380877
-13.415463,-6.1765337
-10.797685,-5.761753
-12.820065,-6.022556
-11.986037,-5.85974
-10.889953,-6.6598544
-12.68596,-5.935665
-12.206256,-5.8262796
-11.736827,-5.7421007
-10.854781,-6.8152504
-11.375461,-5.70264
-12.493727,-5.7505856
-11.849357,-5.676341
-12.268365,-5.706963
-13.370859,-5.801791
-12.783128,-5.7050114
-12.241133,-5.6268654
-12.831257,-5.6776915
-12.38266,-5.631422
-12.576874,-5.5104485
-13.851259,-5.61349
-12.406594,-5.388936
-13.782086,-5.570318
-14.196195,-5.507769
-13.534301,-5.499735
-14.048275,-5.463093
-14.486151,-5.380159
-13.891038,-5.4448724
-13.673964,-5.3848977
-13.707786,-5.370248
-14.855661,-5.1521287
-14.872032,-5.124456
-14.923258,-5.0904913
-14.410016,-5.2649393
-14.418021,-5.247549
-14.794042,-5.1411004
-14.90248,-5.084827
-14.901937,-5.071595
-15.405945,-4.8146844
-15.777236,-4.5630064
-15.705162,-4.6168756
-15.891305,-4.4847646
-16.10833,-4.3177304
-16.500261,-3.986138
-17.538906,-3.027572
-16.339363,-4.1439266
-16.84254,-3.684563
-16.363813,-4.1302037
-19.352482,-1.471154
-17.26882,-3.2760015
-17.057928,-3.488361
-17.574888,-2.9504654
-17.004906,-3.5449843
-17.213268,-3.3178139
-18.404774,-2.199705
-18.849234,-1.8224622
-17.424303,-3.063651
-17.440958,-3.0289378
-17.811954,-2.5608177
-19.77161,1.257659
-17.247818,-3.259296
-17.967503,-2.3097472
-18.251318,-1.891093
-19.066416,-0.78182316
-18.360786,-1.67053
-18.2431,-1.7439919
-18.28509,-1.6845713
-18.413368,-1.4590497
-17.910503,-2.0843678
-18.578354,-1.1902431
-19.557924,1.2826009
-18.601912,-1.0912757
-19.072992,-0.16547638
-19.599852,1.5463175
-18.61823,-1.0117831
-18.437706,-1.2000164
-18.657965,-0.8909007
-18.580889,-0.8783258
-19.432192,1.4049098
-18.928705,-0.07712573
-18.623053,-0.70639944
-18.9933,0.22384246
-19.410608,1.585683
-19.057974,0.51440746
-18.106588,-1.3201987
-18.693535,-0.37372804
-18.51176,-0.675691
-18.199492,-1.1510752
-18.482515,-0.60501593
-18.876326,0.28214604
-18.432873,-0.6435495
-18.528286,-0.18390219
-18.704456,0.9262333
-18.947544,2.801728
-18.81206,2.6205704
-18.487612,1.3496368
-18.833857,3.1779263
-18.343723,0.6198022
-18.64248,2.5048664
-18.71912,2.9205499
-18.354015,0.9946185
-18.703665,3.432332
-18.398508,2.103884
-18.392427,2.9628832
-18.251307,4.1901813
-18.268261,2.681281
-18.21052,2.9357138
-18.165916,3.48019
-18.147953,2.922765
-18.128338,2.9229996
-17.870031,3.9944808
-18.095179,2.998859
-18.07623,3.2839148
-17.956423,3.5422423
-17.89034,3.6614654
-17.707184,3.9705207
-17.812952,3.745256
-17.385471,4.313319
-17.769157,3.6313956
-16.978167,4.6263185
-17.282944,4.3510923
-16.486769,4.9058857
-17.373352,4.214814
-16.830109,4.675983
-16.761744,4.7165356
-17.028412,4.520769
-16.065199,5.0521727
-17.081371,4.472006
-16.20658,4.9642467
-15.801157,5.1090302
-16.054523,5.0172048
-16.526148,4.820047
-15.560272,5.1758223
-15.9474535,5.051979
-16.265873,4.935516
-14.747592,5.4699693
-15.119435,5.208098
-15.135843,5.213539
-14.939142,5.226706
-14.623429,5.2636228
-14.704104,5.242123
-12.79392,5.424877
-14.517508,5.2457542
-14.47573,5.248086
-14.611638,5.2362833
-14.267419,5.2386603
-14.341753,5.212087
-14.320486,5.2267027
-14.2462015,5.2362947
-13.147288,5.111112
