MDS1,MDS2
2937.4312678199103,-3283.137239044719
2891.3015049565097,-3206.974146362579
2901.455112473815,-3283.7698985121497
2909.7504342018333,-3282.320753449906
2858.444711767356,-3185.1715494634313
2893.6509780560955,-3261.398015516255
2847.6965514359104,-3228.614357369068
2858.1976535749177,-3167.6385669265023
2788.318869962519,-3100.6255399792994
2801.1170791924383,-3193.9475492481292
2738.8969102713986,-3140.798851912994
2726.7239606574503,-3026.0635222629307
2710.323253832017,-3123.970632918436
2691.2622885271544,-3086.735363328226
2435.4895778632294,-3013.5547893386374
2638.4335223326066,-2945.538776013696
2610.6904246928693,-2936.5990672348976
2634.5667421549133,-2938.504592963034
2693.870558130615,-2996.345470583401
2632.613703043602,-2806.696033341985
2633.6191209543804,-2986.0143746169133
2601.46029405021,-2958.535715351591
2593.730750424342,-2893.448561688663
2546.120943477212,-2898.785611152172
2585.369676034813,-2901.2398439928124
2549.5025828249136,-2915.9324252040865
2524.840819367429,-2856.2219873988493
2545.944067992753,-2907.7739711425384
2501.4590132804287,-2874.112176729852
2568.0656229650863,-2889.1220899778987
2566.542776579203,-2873.501935502966
2523.293393700434,-2836.7315495687085
2509.205199239051,-2862.7371101835174
2540.072488635949,-2842.937969329702
2497.9986827947473,-2854.9302529924803
2483.046041659576,-2788.836577933244
2454.710625173208,-2803.5673816099875
2391.053189178981,-2749.8392443017615
2449.0043110551355,-2769.8181252396294
2420.4792127909686,-2720.81051242659
2404.0933832313667,-2691.875293343789
2417.9634871344974,-2729.2391681148365
2387.205288568662,-2740.2218996265788
2364.777354829488,-2475.2237446657264
2288.874671125838,-2672.076178065683
2379.7101947041156,-2677.9488679501123
2293.2335878177387,-2660.704381196466
2360.4445985984285,-2679.080561509905
2292.4560053454798,-2603.3472125958024
2237.698186777641,-2554.982004648968
2240.2878095190945,-2628.8009529819496
2190.970016628268,-2485.8554439444147
2157.793248123364,-2485.9618734226547
2193.051429963945,-2501.9888858625877
2129.633911554447,-2480.8377941743333
2130.25095111875,-2461.305843480875
2091.359750843439,-2416.305311338892
2139.02305584003,-2457.6626427702213
2105.939589351039,-2317.7106138338863
2099.1234817801787,-2463.422899256142
2098.055330168994,-2458.598698301614
2072.482423322599,-2433.7808088748284
2026.9221515451025,-2385.400189005655
2015.6022054963144,-2384.998218807506
2004.4544586268842,-2362.664487456166
2010.5911594644967,-2249.983983790684
1995.0358242529778,-2357.788376691353
2016.3727402610718,-2349.8085157700216
1988.7851532536313,-2287.1287864493784
1969.1328275328792,-2331.6314454913104
1978.3200697610118,-2334.188711634099
1966.098678268596,-2344.901195034374
1958.3910879030022,-2276.3265213968903
1945.3553398630577,-2246.318267322216
1856.196019913604,-2185.296978737569
1921.7411118446978,-2257.6038951892992
1907.8309148829146,-2258.571213932157
1892.7866898718546,-2253.9039861577476
1884.9785515953124,-2116.609349465183
1897.1849464463123,-2175.8843494453163
1861.9883972001417,-2131.2392076850833
1847.621207640419,-2222.106371978248
1840.8396462967823,-2150.623251424536
1753.4861001065456,-2107.3239587520843
1851.973939775794,-2202.139439012887
1753.7891083198608,-2084.5390220898025
1838.2891857989778,-2123.749745163513
1789.8681225283785,-2084.590265690951
1778.4836279774804,-2183.272839250921
1778.6679211210462,-2023.6140942802372
1774.1768136937817,-2026.699189495557
1790.5833645573625,-2059.1575141926733
1754.620495989411,-1874.1099996854173
1757.4594626227133,-2031.214415297116
1737.5556094782291,-2029.7032560241769
1712.2028683853532,-2001.9191981873844
1725.180670459975,-1866.0243383637953
1708.7687423675927,-1978.7865480658709
1688.6979519651745,-1993.7073328684921
1673.3093190585198,-1950.5353443762901
1673.7307400424138,-1885.9778581211929
1710.5711930756088,-1963.923790203965
1719.5985275888743,-1960.9402563481094
1651.9042216248681,-1949.6933445156835
1606.9215983105237,-1843.0798874854413
1605.3599158370096,-1868.1237862412147
1610.175179271306,-1950.0894762539876
1583.3276534353647,-1841.1610623563467
1566.2803113434375,-1819.3957172499295
1622.283577288017,-1887.169717906864
1578.8220281209228,-1722.1468896008412
1589.71323157005,-1826.2997379995793
1576.1741443373814,-1807.018905014947
1448.2514058258732,-1805.7494932283685
1551.17823134943,-1781.0241522138006
1550.1344905173132,-1735.0494174016835
1544.0983262708653,-1756.253859130108
1538.0025636437022,-1901.213780265744
1548.7698332617845,-1831.731267193399
1524.340473251214,-1822.5475289272508
1519.0737183850576,-1728.4246784793681
1302.5857333500928,-1746.559243922756
1503.9120173169247,-1772.5687870859501
1489.0004774651397,-1721.7844283811844
1493.3445446359274,-1815.0828023137587
1484.7945382109972,-1760.3096809365356
1478.4437579228668,-1718.758265057782
1485.0406034903617,-1536.4066738641104
1466.8834687511749,-1759.044913873411
1464.0009487693108,-1760.5976450469407
1473.2976810725906,-1685.4435232587145
1431.2022843803081,-1649.3870150191683
1413.722718063057,-1542.3561311923668
1393.963524171822,-1575.5138412606507
1385.4644211218215,-1624.315891970446
1417.5475059754795,-1642.870744928089
1415.618776152737,-1639.8445850291293
1382.9168011624652,-1630.456696138507
1400.754057432652,-1634.019834703611
1380.653258478199,-1591.9274971034222
1326.1199180401961,-1571.000660765911
1338.256326144495,-1573.6098992663372
1346.8692956904836,-1592.6102608400877
1343.256260867805,-1630.6636299212512
1324.9733551405102,-1427.210862599599
1321.3171118019447,-1549.0237353049597
1311.333154135566,-1564.5795260132388
1302.9090958753914,-1523.9167102478007
1313.3687034681527,-1533.8024257792204
1286.6490280020494,-1521.3257873543962
1275.4660322929838,-1527.284708793544
1264.0639906498172,-1492.793412306493
1253.0404303144203,-1440.39110917703
1260.4236259522706,-1410.4924279485572
1279.2601099440706,-1499.8719863585848
1242.7570604745877,-1424.0722212839419
